HALLMARK_Apoptosis,HALLMARK_Cholesterol_Homeostasis,HALLMARK_IL2_STAT5_Signalling,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_PI3K_AKT_MTOR_Signalling,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_GLYCOLYSIS,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2
DD1,ABCA2,ADAM19,A2M,ACACA,AADAT,ABCB6,ADAR,ABCB7,ACHE,ADAM17,ABCA1,ABCA1,ABCE1,AIMP2
AIFM3,ACAT2,AGER,ACVR1B,ACTR2,ACAA1,ADORA2B,B2M,ACAA1,ADGRG1,AXIN1,ABI1,ACKR3,ACP1,BYSL
ANKH,ACSS2,AHCY,ACVRL1,ACTR3,ACAA2,AGL,BATF2,ACAA2,AMOT,AXIN2,ACVR1B,AREG,AIMP2,CBX3
ANXA1,ACTG1,AHNAK,BAK1,ADCY2,ACADL,AGRN,BST2,ACADM,CDK5R1,CCND2,ACVR2A,ATF3,AP3S1,CDK4
APP,ADH4,AHR,CBL,AKT1,ACADM,AK3,C1S,ACADSB,CDK6,CSNK1E,ADGRE1,ATP2B1,APEX1,DCTPP1
ATF3,ALCAM,ALCAM,CCL7,AKT1S1,ACADS,AK4,CASP1,ACADVL,CELSR1,CTNNB1,ADM,B4GALT1,BUB3,DDX18
AVPR1A,ALDOC,AMACR,CCR1,AP2M1,ACADVL,AKR1A1,CASP8,ACAT1,CNTFR,CUL1,ADORA2B,B4GALT5,C1QBP,DUSP2
BAX,ANTXR2,ANXA4,CD14,ARF1,ACAT2,ALDH7A1,CCRL2,ACO2,CRMP1,DKK1,ADRM1,BCL2A1,CAD,EXOSC5
BCAP31,ANXA13,APLP1,CD36,ARHGDIA,ACO2,ALDH9A1,CD47,AFG3L2,DPYSL2,DKK4,AHR,BCL3,CANX,FARSA
BCL10,ANXA5,ARL4A,CD38,ARPC3,ACOT2,ALDOA,CD74,AIFM1,ETS2,DLL1,APLNR,BCL6,CBX3,GNL3
BCL2L1,ATF3,BATF,CD44,ATF1,ACOT8,ALDOB,CMPK2,ALAS1,GLI1,DVL2,AQP9,BHLHE40,CCNA2,GRWD1
BCL2L10,ATF5,BATF3,CD9,CAB39,ACOX1,ALG1,CMTR1,ALDH6A1,HEY1,FRAT1,ATP2A2,BIRC2,CCT2,HK2
BCL2L11,ATXN2,BCL2,CNTFR,CAB39L,ACSL1,ANG,CNP,ATP1B1,HEY2,FZD1,ATP2B1,BIRC3,CCT3,HSPD1
BCL2L2,AVPR1A,BCL2L1,CRLF2,CALR,ACSL4,ANGPTL4,CSF1,ATP5F1A,L1CAM,FZD8,ATP2C1,BMP2,CCT4,HSPE1
BGN,CBS,BHLHE40,CSF1,CAMK4,ACSL5,ANKZF1,CXCL10,ATP5F1B,LDB1,GNAI1,AXL,BTG1,CCT5,IMP4
BID,CD9,BMP2,CSF2,CDK1,ACSM3,ARPP19,CXCL11,ATP5F1C,MYH9,HDAC11,BDKRB1,BTG2,CCT7,IPO4
BIK,CHKA,BMPR2,CSF2RA,CDK2,ACSS1,ARTN,DDX60,ATP5F1D,NF1,HDAC2,BEST1,BTG3,CDC20,LAS1L
BIRC3,CLU,CA2,CSF2RB,CDK4,ADH1C,AURKA,DHX58,ATP5F1E,NKX6-1,HDAC5,BST2,CCL2,CDC45,MAP3K6
BMF,CPEB2,CAPG,CSF3R,CDKN1A,ADH7,B3GALT6,EIF2AK2,ATP5MC1,NRCAM,HEY1,BTG2,CCL20,CDK2,MCM4
BMP2,CTNNB1,CAPN3,CXCL1,CDKN1B,ADIPOR2,B3GAT1,ELF1,ATP5MC2,NRP1,HEY2,C3AR1,CCL4,CDK4,MCM5
BNIP3L,CXCL16,CASP3,CXCL10,CFL1,ADSL,B3GAT3,EPSTI1,ATP5MC3,NRP2,JAG1,C5AR1,CCL5,CLNS1A,MPHOSPH10
BRCA1,CYP51A1,CCND2,CXCL11,CLTC,ALAD,B3GNT3,GBP2,ATP5ME,OPHN1,JAG2,CALCRL,CCN1,CNBP,MRTO4
BTG2,DHCR7,CCND3,CXCL13,CSNK2B,ALDH1A1,B4GALT1,GBP4,ATP5MF,PLG,KAT2A,CCL17,CCND1,COPS5,MYBBP1A
BTG3,EBP,CCNE1,CXCL3,CXCR4,ALDH3A1,B4GALT2,GMPR,ATP5MG,PML,LEF1,CCL2,CCNL1,COX5A,MYC
CASP1,ECH1,CCR4,CXCL9,DAPP1,ALDH3A2,B4GALT4,HELZ2,ATP5PB,PTCH1,MAML1,CCL20,CCRL2,CSTF2,NDUFAF4
CASP2,ERRFI1,CD44,DNTT,DDIT3,ALDH9A1,B4GALT7,HERC6,ATP5PD,RASA1,MYC,CCL22,CD44,CTPS1,NIP7
CASP3,ETHE1,CD48,EBI3,DUSP3,ALDOA,BIK,HLA-C,ATP5PF,RTN1,NCOR2,CCL24,CD69,CUL1,NOC4L
CASP4,FABP5,CD79B,FAS,E2F1,AOC3,BPNT1,IFI27,ATP5PO,SCG2,NCSTN,CCL5,CD80,CYC1,NOLC1
CASP6,FADS2,CD81,GRB2,ECSIT,APEX1,CACNA1H,IFI30,ATP6AP1,SHH,NKD1,CCL7,CD83,DDX18,NOP16
CASP7,FASN,CD83,HAX1,EGFR,AQP7,CAPN5,IFI35,ATP6V0B,SLIT1,NOTCH1,CCR7,CDKN1A,DDX21,NOP2
CASP8,FBXO6,CD86,HMOX1,EIF4E,AUH,CASP6,IFI44,ATP6V0C,THY1,NOTCH4,CCRL2,CEBPB,DEK,NOP56
CASP9,FDFT1,CDC42SE2,IFNAR1,FASLG,BCKDHB,CD44,IFI44L,ATP6V0E1,TLE1,NUMB,CD14,CEBPD,DHX15,NPM1
CAV1,FDPS,CDC6,IFNGR1,FGF17,BLVRA,CDK1,IFIH1,ATP6V1C1,TLE3,PPARD,CD40,CFLAR,DUT,PA2G4
CCNA1,GLDC,CDCP1,IFNGR2,FGF22,BMPR1B,CENPA,IFIT2,ATP6V1D,UNC5C,PSEN2,CD48,CLCF1,EEF1B2,PES1
CCND1,GNAI1,CDKN1C,IL10RB,FGF6,BPHL,CHPF,IFIT3,ATP6V1E1,VEGFA,PTCH1,CD55,CSF1,EIF1AX,PHB
CCND2,GPX8,CISH,IL12RB1,GNA14,CA2,CHPF2,IFITM1,ATP6V1F,VLDLR,RBPJ,CD69,CSF2,EIF2S1,PLK1
CD14,GSTM2,CKAP4,IL13RA1,GNGT1,CA4,CHST1,IFITM2,ATP6V1G1,,SKP2,CD70,CXCL1,EIF2S2,PLK4
CD2,GUSB,COCH,IL15RA,GRB2,CA6,CHST12,IFITM3,ATP6V1H,,TCF7,CD82,CXCL10,EIF3B,PPAN
CD38,HMGCR,COL6A1,IL17RA,GRK2,CBR1,CHST2,IL15,BAX,,TP53,CDKN1A,CXCL11,EIF3D,PPRC1
CD44,HMGCS1,CSF1,IL17RB,GSK3B,CBR3,CHST4,IL4R,BCKDHA,,WNT1,CHST2,CXCL2,EIF3J,PRMT3
CD69,HSD17B7,CSF2,IL18R1,HRAS,CD1D,CHST6,IL7,BDH2,,WNT5B,CLEC5A,CXCL3,EIF4A1,PUS1
CDC25B,IDI1,CST7,IL1B,HSP90B1,CD36,CITED2,IRF1,CASP7,,WNT6,CMKLR1,CXCL6,EIF4E,RABEPK
CDK2,JAG1,CTLA4,IL1R1,IL2RG,CEL,CLDN3,IRF2,COX10,,,CSF1,DDX58,EIF4G2,RCL1
CDKN1A,LDLR,CTSZ,IL1R2,IL4,CIDEA,CLDN9,IRF7,COX11,,,CSF3,DENND5A,EIF4H,RRP12
CDKN1B,LGALS3,CXCL10,IL2RA,IRAK4,CPOX,CLN6,IRF9,COX15,,,CSF3R,DNAJB4,EPRS1,RRP9
CFLAR,LGMN,CYFIP1,IL2RG,ITPR2,CPT1A,COG2,ISG15,COX17,,,CX3CL1,DRAM1,ERH,SLC19A1
CLU,LPL,DCPS,IL3RA,LCK,CPT2,COL5A1,ISG20,COX4I1,,,CXCL10,DUSP1,ETF1,SLC29A2
CREBBP,LSS,DENND5A,IL4R,MAP2K3,CRAT,COPB2,LAMP3,COX5A,,,CXCL11,DUSP2,EXOSC7,SORD
CTH,MAL2,DHRS3,IL6,MAP2K6,CRYZ,CTH,LAP3,COX5B,,,CXCL6,DUSP4,FAM120A,SRM
CTNNB1,MVD,DRC1,IL6ST,MAP3K7,CYP1A1,CXCR4,LGALS3BP,COX6A1,,,CXCL8,DUSP5,FBL,SUPV3L1
CYLD,MVK,ECM1,IL7,MAPK1,CYP4A11,CYB5A,LPAR6,COX6B1,,,CXCL9,EDN1,G3BP1,TBRG4
DAP,NFIL3,EEF1AKMT1,IL9R,MAPK10,CYP4A22,DCN,LY6E,COX6C,,,CXCR6,EFNA1,GLO1,TCOF1
DAP3,NIBAN1,EMP1,INHBE,MAPK8,D2HGDH,DDIT4,MOV10,COX7A2,,,CYBB,EGR1,GNL3,TFB2M
DCN,NSDHL,ENO3,IRF1,MAPK9,DECR1,DEPDC1,MVB12A,COX7A2L,,,DCBLD2,EGR2,GOT2,TMEM97
DDIT3,PCYT2,ENPP1,IRF9,MAPKAP1,DHCR24,DLD,MX1,COX7B,,,EBI3,EGR3,GSPT1,UNG
DFFA,PDK3,EOMES,ITGA4,MKNK1,DLD,DPYSL4,NCOA7,COX7C,,,EDN1,EHD1,H2AZ1,UTP20
DIABLO,PLAUR,ETFBKMT,ITGB3,MKNK2,DLST,DSC2,NMI,COX8A,,,EIF2AK2,EIF1,HDAC2,WDR43
DNAJA1,PLSCR1,ETV4,JUN,MYD88,ECH1,ECD,NUB1,CPT1A,,,EMP3,ETS2,HDDC2,WDR74
DNAJC3,PMVK,F2RL2,LEPR,NCK1,ECHS1,EFNA3,OAS1,CS,,,EREG,F2RL1,HDGF,
DNM1L,PNRC1,FAH,LTB,NFKBIB,ECI1,EGFR,OASL,CYB5A,,,F3,F3,HNRNPA1,
DPYD,PPARG,FAM126B,LTBR,NGF,ECI2,EGLN3,OGFR,CYB5R3,,,FFAR2,FJX1,HNRNPA2B1,
EBP,S100A11,FGL2,MAP3K8,NOD1,EHHADH,ELF3,PARP12,CYC1,,,FPR1,FOS,HNRNPA3,
EGR3,SC5D,FLT3LG,MYD88,PAK4,ELOVL5,ENO1,PARP14,CYCS,,,FZD5,FOSB,HNRNPC,
EMP1,SCD,FURIN,OSMR,PDK1,ENO2,ENO2,PARP9,DECR1,,,GABBR1,FOSL1,HNRNPD,
ENO2,SEMA3B,GABARAPL1,PDGFC,PFN1,ENO3,ERO1A,PLSCR1,DLAT,,,GCH1,FOSL2,HNRNPR,
ERBB2,SQLE,GADD45B,PF4,PIK3R3,EPHX1,EXT1,PNPT1,DLD,,,GNA15,FUT4,HNRNPU,
ERBB3,SREBF2,GALM,PIK3R5,PIKFYVE,ERP29,EXT2,PROCR,DLST,,,GNAI3,G0S2,HPRT1,
EREG,STARD4,GATA1,PIM1,PIN1,ETFDH,FAM162A,PSMA3,ECH1,,,GP1BA,GADD45A,HSP90AB1,
ETF1,STX5,GBP4,PLA2G2A,PITX2,FABP1,FBP2,PSMB8,ECHS1,,,GPC3,GADD45B,HSPD1,
F2,TM7SF2,GLIPR2,PTPN1,PLA2G12A,FABP2,FKBP4,PSMB9,ECI1,,,GPR132,GCH1,HSPE1,
F2R,TMEM97,GPR65,PTPN11,PLCB1,FASN,FUT8,PSME1,ETFA,,,GPR183,GEM,IARS1,
FAS,TNFRSF12A,GPR83,PTPN2,PLCG1,FH,G6PD,PSME2,ETFB,,,HAS2,GFPT2,IFRD1,
FASLG,TP53INP1,GPX4,REG1A,PPP1CA,FMO1,GAL3ST1,RIPK2,ETFDH,,,HBEGF,GPR183,ILF2,
FDXR,TRIB3,GSTO1,SOCS1,PPP2R1B,G0S2,GALE,RNF31,FDX1,,,HIF1A,HBEGF,IMPDH2,
FEZ1,,GUCY1B1,SOCS3,PRKAA2,GABARAPL1,GALK1,RSAD2,FH,,,HPN,HES1,KARS1,
GADD45A,,HIPK2,STAM2,PRKAG1,GAD2,GALK2,RTP4,FXN,,,HRH1,ICAM1,KPNA2,
GADD45B,,HK2,STAT1,PRKAR2A,GAPDHS,GAPDHS,SAMD9,GLUD1,,,ICAM1,ICOSLG,KPNB1,
GCH1,,HOPX,STAT2,PRKCB,GCDH,GCLC,SAMD9L,GOT2,,,ICAM4,ID2,LDHA,
GNA15,,HUWE1,STAT3,PTEN,GLUL,GFPT1,SELL,GPI,,,ICOSLG,IER2,LSM2,
GPX1,,ICOS,TGFB1,PTPN11,GPD1,GFUS,SLC25A28,GPX4,,,IFITM1,IER3,LSM7,
GPX3,,IFITM3,TLR2,RAC1,GPD2,GLCE,SP110,GRPEL1,,,IFNAR1,IER5,MAD2L1,
GPX4,,IFNGR1,TNF,RAF1,GRHPR,GLRX,STAT2,HADHA,,,IFNGR2,IFIH1,MCM2,
GSN,,IGF1R,TNFRSF12A,RALB,GSTZ1,GMPPA,TAP1,HADHB,,,IL10,IFIT2,MCM4,
GSR,,IGF2R,TNFRSF1A,RIPK1,H2AZ1,GMPPB,TDRD7,HCCS,,,IL10RA,IFNGR2,MCM5,
GSTM1,,IKZF2,TNFRSF1B,RIT1,HADH,GNE,TENT5A,HSD17B10,,,IL12B,IL12B,MCM6,
