Apoptosis,,Cholesterol_Homeostasis,,IL2_STAT5_Signalling,,IL6_JAK_STAT3_Signalling,,PI3K_AKT_MTOR_Signalling,,,,,,,,,,,,,
DD1,,ABCA2,,ADAM19,,A2M,,ACACA,,,,,,,,,,,,,
AIFM3,,ACAT2,,AGER,,ACVR1B,,ACTR2,,,,,,,,,,,,,
ANKH,,ACSS2,,AHCY,,ACVRL1,,ACTR3,,,,,,,,,,,,,
ANXA1,,ACTG1,,AHNAK,,BAK1,,ADCY2,,,,,,,,,,,,,
APP,,ADH4,,AHR,,CBL,,AKT1,,,,,,,,,,,,,
ATF3,,ALCAM,,ALCAM,,CCL7,,AKT1S1,,,,,,,,,,,,,
AVPR1A,,ALDOC,,AMACR,,CCR1,,AP2M1,,,,,,,,,,,,,
BAX,,ANTXR2,,ANXA4,,CD14,,ARF1,,,,,,,,,,,,,
BCAP31,,ANXA13,,APLP1,,CD36,,ARHGDIA,,,,,,,,,,,,,
BCL10,,ANXA5,,ARL4A,,CD38,,ARPC3,,,,,,,,,,,,,
BCL2L1,,ATF3,,BATF,,CD44,,ATF1,,,,,,,,,,,,,
BCL2L10,,ATF5,,BATF3,,CD9,,CAB39,,,,,,,,,,,,,
BCL2L11,,ATXN2,,BCL2,,CNTFR,,CAB39L,,,,,,,,,,,,,
BCL2L2,,AVPR1A,,BCL2L1,,CRLF2,,CALR,,,,,,,,,,,,,
BGN,,CBS,,BHLHE40,,CSF1,,CAMK4,,,,,,,,,,,,,
BID,,CD9,,BMP2,,CSF2,,CDK1,,,,,,,,,,,,,
BIK,,CHKA,,BMPR2,,CSF2RA,,CDK2,,,,,,,,,,,,,
BIRC3,,CLU,,CA2,,CSF2RB,,CDK4,,,,,,,,,,,,,
BMF,,CPEB2,,CAPG,,CSF3R,,CDKN1A,,,,,,,,,,,,,
BMP2,,CTNNB1,,CAPN3,,CXCL1,,CDKN1B,,,,,,,,,,,,,
BNIP3L,,CXCL16,,CASP3,,CXCL10,,CFL1,,,,,,,,,,,,,
BRCA1,,CYP51A1,,CCND2,,CXCL11,,CLTC,,,,,,,,,,,,,
BTG2,,DHCR7,,CCND3,,CXCL13,,CSNK2B,,,,,,,,,,,,,
BTG3,,EBP,,CCNE1,,CXCL3,,CXCR4,,,,,,,,,,,,,
CASP1,,ECH1,,CCR4,,CXCL9,,DAPP1,,,,,,,,,,,,,
CASP2,,ERRFI1,,CD44,,DNTT,,DDIT3,,,,,,,,,,,,,
CASP3,,ETHE1,,CD48,,EBI3,,DUSP3,,,,,,,,,,,,,
CASP4,,FABP5,,CD79B,,FAS,,E2F1,,,,,,,,,,,,,
CASP6,,FADS2,,CD81,,GRB2,,ECSIT,,,,,,,,,,,,,
CASP7,,FASN,,CD83,,HAX1,,EGFR,,,,,,,,,,,,,
CASP8,,FBXO6,,CD86,,HMOX1,,EIF4E,,,,,,,,,,,,,
CASP9,,FDFT1,,CDC42SE2,,IFNAR1,,FASLG,,,,,,,,,,,,,
CAV1,,FDPS,,CDC6,,IFNGR1,,FGF17,,,,,,,,,,,,,
CCNA1,,GLDC,,CDCP1,,IFNGR2,,FGF22,,,,,,,,,,,,,
CCND1,,GNAI1,,CDKN1C,,IL10RB,,FGF6,,,,,,,,,,,,,
CCND2,,GPX8,,CISH,,IL12RB1,,GNA14,,,,,,,,,,,,,
CD14,,GSTM2,,CKAP4,,IL13RA1,,GNGT1,,,,,,,,,,,,,
CD2,,GUSB,,COCH,,IL15RA,,GRB2,,,,,,,,,,,,,
CD38,,HMGCR,,COL6A1,,IL17RA,,GRK2,,,,,,,,,,,,,
CD44,,HMGCS1,,CSF1,,IL17RB,,GSK3B,,,,,,,,,,,,,
CD69,,HSD17B7,,CSF2,,IL18R1,,HRAS,,,,,,,,,,,,,
CDC25B,,IDI1,,CST7,,IL1B,,HSP90B1,,,,,,,,,,,,,
CDK2,,JAG1,,CTLA4,,IL1R1,,IL2RG,,,,,,,,,,,,,
CDKN1A,,LDLR,,CTSZ,,IL1R2,,IL4,,,,,,,,,,,,,
CDKN1B,,LGALS3,,CXCL10,,IL2RA,,IRAK4,,,,,,,,,,,,,
CFLAR,,LGMN,,CYFIP1,,IL2RG,,ITPR2,,,,,,,,,,,,,
CLU,,LPL,,DCPS,,IL3RA,,LCK,,,,,,,,,,,,,
CREBBP,,LSS,,DENND5A,,IL4R,,MAP2K3,,,,,,,,,,,,,
CTH,,MAL2,,DHRS3,,IL6,,MAP2K6,,,,,,,,,,,,,
CTNNB1,,MVD,,DRC1,,IL6ST,,MAP3K7,,,,,,,,,,,,,
CYLD,,MVK,,ECM1,,IL7,,MAPK1,,,,,,,,,,,,,
DAP,,NFIL3,,EEF1AKMT1,,IL9R,,MAPK10,,,,,,,,,,,,,
DAP3,,NIBAN1,,EMP1,,INHBE,,MAPK8,,,,,,,,,,,,,
DCN,,NSDHL,,ENO3,,IRF1,,MAPK9,,,,,,,,,,,,,
DDIT3,,PCYT2,,ENPP1,,IRF9,,MAPKAP1,,,,,,,,,,,,,
DFFA,,PDK3,,EOMES,,ITGA4,,MKNK1,,,,,,,,,,,,,
DIABLO,,PLAUR,,ETFBKMT,,ITGB3,,MKNK2,,,,,,,,,,,,,
DNAJA1,,PLSCR1,,ETV4,,JUN,,MYD88,,,,,,,,,,,,,
DNAJC3,,PMVK,,F2RL2,,LEPR,,NCK1,,,,,,,,,,,,,
DNM1L,,PNRC1,,FAH,,LTB,,NFKBIB,,,,,,,,,,,,,
DPYD,,PPARG,,FAM126B,,LTBR,,NGF,,,,,,,,,,,,,
EBP,,S100A11,,FGL2,,MAP3K8,,NOD1,,,,,,,,,,,,,
EGR3,,SC5D,,FLT3LG,,MYD88,,PAK4,,,,,,,,,,,,,
EMP1,,SCD,,FURIN,,OSMR,,PDK1,,,,,,,,,,,,,
ENO2,,SEMA3B,,GABARAPL1,,PDGFC,,PFN1,,,,,,,,,,,,,
ERBB2,,SQLE,,GADD45B,,PF4,,PIK3R3,,,,,,,,,,,,,
ERBB3,,SREBF2,,GALM,,PIK3R5,,PIKFYVE,,,,,,,,,,,,,
EREG,,STARD4,,GATA1,,PIM1,,PIN1,,,,,,,,,,,,,
ETF1,,STX5,,GBP4,,PLA2G2A,,PITX2,,,,,,,,,,,,,
F2,,TM7SF2,,GLIPR2,,PTPN1,,PLA2G12A,,,,,,,,,,,,,
F2R,,TMEM97,,GPR65,,PTPN11,,PLCB1,,,,,,,,,,,,,
FAS,,TNFRSF12A,,GPR83,,PTPN2,,PLCG1,,,,,,,,,,,,,
FASLG,,TP53INP1,,GPX4,,REG1A,,PPP1CA,,,,,,,,,,,,,
FDXR,,TRIB3,,GSTO1,,SOCS1,,PPP2R1B,,,,,,,,,,,,,
FEZ1,,,,GUCY1B1,,SOCS3,,PRKAA2,,,,,,,,,,,,,
GADD45A,,,,HIPK2,,STAM2,,PRKAG1,,,,,,,,,,,,,
GADD45B,,,,HK2,,STAT1,,PRKAR2A,,,,,,,,,,,,,
GCH1,,,,HOPX,,STAT2,,PRKCB,,,,,,,,,,,,,
GNA15,,,,HUWE1,,STAT3,,PTEN,,,,,,,,,,,,,
GPX1,,,,ICOS,,TGFB1,,PTPN11,,,,,,,,,,,,,
GPX3,,,,IFITM3,,TLR2,,RAC1,,,,,,,,,,,,,
GPX4,,,,IFNGR1,,TNF,,RAF1,,,,,,,,,,,,,
GSN,,,,IGF1R,,TNFRSF12A,,RALB,,,,,,,,,,,,,
GSR,,,,IGF2R,,TNFRSF1A,,RIPK1,,,,,,,,,,,,,
GSTM1,,,,IKZF2,,TNFRSF1B,,RIT1,,,,,,,,,,,,,
GUCY2D,,,,IKZF4,,TNFRSF21,,RPS6KA1,,,,,,,,,,,,,
H1-0,,,,IL10,,TYK2,,RPS6KA3,,,,,,,,,,,,,
HGF,,,,IL10RA,,,,RPTOR,,,,,,,,,,,,,
HMGB2,,,,IL13,,,,SFN,,,,,,,,,,,,,
HMOX1,,,,IL18R1,,,,SLA,,,,,,,,,,,,,
HSPB1,,,,IL1R2,,,,SLC2A1,,,,,,,,,,,,,
IER3,,,,IL1RL1,,,,SMAD2,,,,,,,,,,,,,
IFITM3,,,,IL2RA,,,,SQSTM1,,,,,,,,,,,,,
IFNB1,,,,IL2RB,,,,STAT2,,,,,,,,,,,,,
IFNGR1,,,,IL3RA,,,,TBK1,,,,,,,,,,,,,
IGF2R,,,,IL4R,,,,THEM4,,,,,,,,,,,,,
IGFBP6,,,,IRF4,,,,TIAM1,,,,,,,,,,,,,
IL18,,,,IRF6,,,,TNFRSF1A,,,,,,,,,,,,,
IL1A,,,,IRF8,,,,TRAF2,,,,,,,,,,,,,
IL1B,,,,ITGA6,,,,TRIB3,,,,,,,,,,,,,
IL6,,,,ITGAE,,,,TSC2,,,,,,,,,,,,,
IRF1,,,,ITGAV,,,,UBE2D3,,,,,,,,,,,,,
ISG20,,,,ITIH5,,,,UBE2N,,,,,,,,,,,,,
JUN,,,,KLF6,,,,VAV3,,,,,,,,,,,,,
KRT18,,,,LCLAT1,,,,YWHAB,,,,,,,,,,,,,
LEF1,,,,LIF,,,,,,,,,,,,,,,,,
LGALS3,,,,LRIG1,,,,,,,,,,,,,,,,,
LMNA,,,,LRRC8C,,,,,,,,,,,,,,,,,
LUM,,,,LTB,,,,,,,,,,,,,,,,,
MADD,,,,MAFF,,,,,,,,,,,,,,,,,
MCL1,,,,MAP3K8,,,,,,,,,,,,,,,,,
MGMT,,,,MAP6,,,,,,,,,,,,,,,,,
MMP2,,,,MAPKAPK2,,,,,,,,,,,,,,,,,
NEDD9,,,,MUC1,,,,,,,,,,,,,,,,,
NEFH,,,,MXD1,,,,,,,,,,,,,,,,,
PAK1,,,,MYC,,,,,,,,,,,,,,,,,
PDCD4,,,,MYO1C,,,,,,,,,,,,,,,,,
PDGFRB,,,,MYO1E,,,,,,,,,,,,,,,,,
PEA15,,,,NCOA3,,,,,,,,,,,,,,,,,
PLAT,,,,NCS1,,,,,,,,,,,,,,,,,
PLCB2,,,,NDRG1,,,,,,,,,,,,,,,,,
PLPPR4,,,,NFIL3,,,,,,,,,,,,,,,,,
PMAIP1,,,,NFKBIZ,,,,,,,,,,,,,,,,,
PPP2R5B,,,,NOP2,,,,,,,,,,,,,,,,,
PPP3R1,,,,NRP1,,,,,,,,,,,,,,,,,
PPT1,,,,NT5E,,,,,,,,,,,,,,,,,
PRF1,,,,ODC1,,,,,,,,,,,,,,,,,
PSEN1,,,,P2RX4,,,,,,,,,,,,,,,,,
PSEN2,,,,P4HA1,,,,,,,,,,,,,,,,,
PTK2,,,,PDCD2L,,,,,,,,,,,,,,,,,
RARA,,,,PENK,,,,,,,,,,,,,,,,,
RELA,,,,PHLDA1,,,,,,,,,,,,,,,,,
RETSAT,,,,PHTF2,,,,,,,,,,,,,,,,,
RHOB,,,,PIM1,,,,,,,,,,,,,,,,,
RHOT2,,,,PLAGL1,,,,,,,,,,,,,,,,,
RNASEL,,,,PLEC,,,,,,,,,,,,,,,,,
ROCK1,,,,PLIN2,,,,,,,,,,,,,,,,,
SAT1,,,,PLPP1,,,,,,,,,,,,,,,,,
SATB1,,,,PLSCR1,,,,,,,,,,,,,,,,,
SC5D,,,,PNP,,,,,,,,,,,,,,,,,
SLC20A1,,,,POU2F1,,,,,,,,,,,,,,,,,
SMAD7,,,,PRAF2,,,,,,,,,,,,,,,,,
SOD1,,,,PRKCH,,,,,,,,,,,,,,,,,
SOD2,,,,PRNP,,,,,,,,,,,,,,,,,
SPTAN1,,,,PTCH1,,,,,,,,,,,,,,,,,
SQSTM1,,,,PTGER2,,,,,,,,,,,,,,,,,
TAP1,,,,PTH1R,,,,,,,,,,,,,,,,,
TGFB2,,,,PTRH2,,,,,,,,,,,,,,,,,
TGFBR3,,,,PUS1,,,,,,,,,,,,,,,,,
TIMP1,,,,RABGAP1L,,,,,,,,,,,,,,,,,
TIMP2,,,,RGS16,,,,,,,,,,,,,,,,,
TIMP3,,,,RHOB,,,,,,,,,,,,,,,,,
TNF,,,,RHOH,,,,,,,,,,,,,,,,,
TNFRSF12A,,,,RNH1,,,,,,,,,,,,,,,,,
TNFSF10,,,,RORA,,,,,,,,,,,,,,,,,
TOP2A,,,,RRAGD,,,,,,,,,,,,,,,,,
TSPO,,,,S100A1,,,,,,,,,,,,,,,,,
TXNIP,,,,SCN9A,,,,,,,,,,,,,,,,,
VDAC2,,,,SELL,,,,,,,,,,,,,,,,,
WEE1,,,,SELP,,,,,,,,,,,,,,,,,
XIAP,,,,SERPINB6,,,,,,,,,,,,,,,,,
,,,,SERPINC1,,,,,,,,,,,,,,,,,
,,,,SH3BGRL2,,,,,,,,,,,,,,,,,
,,,,SHE,,,,,,,,,,,,,,,,,
,,,,SLC1A5,,,,,,,,,,,,,,,,,
,,,,SLC29A2,,,,,,,,,,,,,,,,,
,,,,SLC2A3,,,,,,,,,,,,,,,,,
,,,,SLC39A8,,,,,,,,,,,,,,,,,
,,,,SMPDL3A,,,,,,,,,,,,,,,,,
,,,,SNX14,,,,,,,,,,,,,,,,,
,,,,SNX9,,,,,,,,,,,,,,,,,
,,,,SOCS1,,,,,,,,,,,,,,,,,
,,,,SOCS2,,,,,,,,,,,,,,,,,
,,,,SPP1,,,,,,,,,,,,,,,,,
,,,,SPRED2,,,,,,,,,,,,,,,,,
,,,,SPRY4,,,,,,,,,,,,,,,,,
,,,,ST3GAL4,,,,,,,,,,,,,,,,,
,,,,SWAP70,,,,,,,,,,,,,,,,,
,,,,SYNGR2,,,,,,,,,,,,,,,,,
,,,,SYT11,,,,,,,,,,,,,,,,,
,,,,TGM2,,,,,,,,,,,,,,,,,
,,,,TIAM1,,,,,,,,,,,,,,,,,
,,,,TLR7,,,,,,,,,,,,,,,,,
,,,,TNFRSF18,,,,,,,,,,,,,,,,,
,,,,TNFRSF1B,,,,,,,,,,,,,,,,,
,,,,TNFRSF21,,,,,,,,,,,,,,,,,
,,,,TNFRSF4,,,,,,,,,,,,,,,,,
,,,,TNFRSF8,,,,,,,,,,,,,,,,,
,,,,TNFRSF9,,,,,,,,,,,,,,,,,
,,,,TNFSF10,,,,,,,,,,,,,,,,,
,,,,TNFSF11,,,,,,,,,,,,,,,,,
,,,,TRAF1,,,,,,,,,,,,,,,,,
,,,,TTC39B,,,,,,,,,,,,,,,,,
,,,,TWSG1,,,,,,,,,,,,,,,,,
,,,,UCK2,,,,,,,,,,,,,,,,,
,,,,UMPS,,,,,,,,,,,,,,,,,
,,,,WLS,,,,,,,,,,,,,,,,,
,,,,XBP1,,,,,,,,,,,,,,,,,
